Academic percentage in Operating Systems,Percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Percentage in Mathematics,Percentage in Communication skills,Hours working per day,Logical quotient rating,Hackathons,Coding skills rating,Public speaking points,Can work long time before system?,Self-learning capability?,Extra-courses did,Certifications,Workshops,Interested subjects,Interested career area,Job/Higher Studies?,Type of company want to settle in?,Management or Technical,Worked in teams ever?,Suggested Job Role
95.66390852,99.93850153,57.40159706,82.62397772,55.49937485,61.63547928,65.00523078,69.09294485,57.00202993,9,8.834010876,2,2.012008152,3.893168062,1,1,4,5,1,3,3,1,2,1,1,Data Engineer
92.63950032,89.22910359,91.81178969,96.32851906,62.63713046,69.57591942,90.15421965,63.21355052,95.45225065,6,8.075583569,1,7.849138026,2.270281249,1,0,0,3,5,3,4,1,0,0,1,Data Engineer
71.82274433,86.08844703,65.3678592,69.03907042,62.01435954,52.66637149,71.57768652,75.90455158,96.19781352,6,7.8761208,5,7.477604087,6.095109929,0,0,5,5,1,4,4,0,2,1,0,Data Engineer
90.50051877,55.99696001,71.72667694,76.88088878,52.22106682,57.7768387,78.39080466,53.87000119,89.95494448,7,9.329420536,3,9.258911267,1.229829097,1,1,5,2,2,3,2,1,3,0,1,Data Engineer
79.59990833,50.33708056,78.14452895,68.46022892,85.99695859,86.51391085,55.99645206,84.42518788,55.67987242,7,9.101347602,5,5.037602198,4.537803964,1,1,5,2,0,1,4,1,3,0,0,Data Engineer
92.82328709,78.21199737,50.20036226,66.91157996,84.41070551,83.65110639,95.21882517,96.42619214,56.6297837,5,1.572332599,4,2.471046713,6.253908275,1,1,3,1,1,0,2,1,1,1,0,Data Engineer
82.48089024,77.25704154,88.11408349,53.91094902,73.2438878,67.69281859,61.45919523,87.75292978,64.04681702,10,6.510010251,1,5.52210034,1.780057007,1,1,1,2,4,2,0,0,3,0,1,Data Engineer
91.8784874,92.85065556,98.7969273,56.56226751,80.38965858,63.26546271,77.089563,65.10234835,74.60362637,4,1.532344293,1,5.805771091,3.136888056,0,0,2,3,5,4,1,1,3,1,1,Data Engineer
97.02385933,61.01702584,57.66028535,72.91671538,51.94888092,79.43620848,64.87161851,80.30702071,75.54306275,5,9.11100943,1,3.601292404,2.594316919,1,0,4,3,1,4,4,0,1,1,1,Data Engineer
87.88852424,53.60786199,56.16817507,52.80975485,61.64631293,76.72278022,68.22610446,64.21627446,95.08294757,5,8.236191663,4,3.206502608,8.470337568,1,1,1,3,3,1,0,1,1,0,0,Data Engineer
81.67682129,92.98180919,77.69862308,80.84275307,53.30320153,98.10542017,98.91649526,89.20676644,80.19150162,6,5.689534728,2,6.200561222,1.662237602,1,1,1,5,0,0,0,1,0,0,0,Data Engineer
69.24974719,68.15905918,64.54955381,73.61515282,88.1677281,85.57846177,72.47425192,74.39137318,86.19399441,8,8.561095627,1,5.365459088,9.111932354,1,1,5,4,1,3,3,1,3,0,0,Data Engineer
82.9637466,70.73760092,97.35260824,85.66376231,63.22107574,71.29853269,58.43465629,92.06578601,53.14802315,9,5.746395688,3,2.426665106,8.767055962,1,0,1,2,0,2,0,1,2,1,0,Data Engineer
80.89611993,92.49288552,71.1782472,67.83083365,87.4524342,69.90972961,53.63063248,56.22726814,53.79503585,4,9.189910107,1,7.990789984,9.54682924,0,1,5,1,5,0,4,0,3,1,1,Data Engineer
54.96965152,51.19740825,50.69540522,84.54732317,90.43788323,86.51824126,79.89797182,62.52459331,55.21840427,8,6.38463124,3,9.04936445,6.091328513,1,0,0,2,5,0,1,1,1,1,0,Data Engineer
74.59250153,50.4551703,90.20081424,82.81037575,97.8219327,73.89785417,51.51188303,77.51571825,56.58604,4,7.773922592,3,5.008116002,1.555413989,0,0,5,0,3,4,2,1,0,0,1,Data Engineer
52.73143543,83.81455915,94.36360383,80.52180359,91.50827071,75.39036388,85.28312389,53.31153399,74.93037225,4,1.391823553,3,3.299042054,9.264586477,0,0,1,5,4,3,3,1,1,1,0,Data Engineer
68.33686563,92.99796653,73.16636394,99.90156286,91.01388536,89.16094542,70.17152519,50.49137927,56.76559637,6,3.122682905,0,9.306586188,3.217391546,1,1,0,0,3,3,3,1,3,1,1,Data Engineer
83.46215337,50.1478552,82.72124067,66.29118876,92.54164905,84.18943429,96.50890467,79.58268424,67.61888302,9,7.959391151,4,5.018064696,4.121556442,0,0,0,5,2,3,2,1,2,1,0,Data Engineer
64.25170094,67.92610057,74.04015759,63.90734966,51.47875708,69.99033789,89.09601515,65.51940064,84.08986469,6,9.569239771,2,9.825939134,6.935589052,0,0,3,1,4,2,3,1,3,0,1,Data Engineer
80.952085,78.66194267,58.74183095,77.74436228,64.82274156,93.58579792,85.41409122,90.75986784,58.01091986,6,3.857813611,4,7.388528856,9.86596029,1,1,5,0,4,2,1,0,1,0,0,Data Engineer
97.24408839,82.42534025,86.29261226,95.54824455,68.94462085,77.8373811,88.38359137,75.70417418,94.41803353,6,8.397079475,5,2.784516049,8.364803194,0,0,3,5,4,0,1,1,3,1,1,Data Engineer
90.40021534,89.68567968,86.12918501,68.9758568,85.35437409,77.34315315,99.25045465,54.30753448,89.42777136,6,8.555512128,4,9.182357686,7.142076136,1,1,5,4,2,1,4,0,0,0,1,Data Engineer
60.48971014,83.79824817,79.70758441,65.74612482,56.15077249,68.79114254,74.57632223,56.88643537,95.5882182,4,6.273721906,0,1.928389942,2.151059866,0,1,1,3,3,3,2,1,3,1,1,Data Engineer
87.32372311,75.20020403,58.67261621,67.90969397,93.95540661,69.40469524,56.42919404,88.89996182,79.00402317,5,6.706097954,4,6.308649431,3.571764187,0,0,2,3,4,2,2,1,3,1,0,Data Engineer
92.22490868,92.30192039,51.23501313,70.27544421,56.79143799,53.94609521,88.5099451,79.20420511,51.133037,4,3.365554114,0,6.523215923,2.61517827,1,0,5,1,5,4,0,0,3,1,1,Data Engineer
84.03595067,69.40975846,56.03914202,56.69323848,66.87651311,96.39724514,86.70799946,83.00432949,50.38399054,8,5.42770402,2,4.575485799,5.213895485,1,1,1,4,0,4,4,1,1,1,0,Data Engineer
71.96060483,60.16089546,89.29718384,95.08436826,50.44502658,86.43505957,51.80863745,89.92077488,60.98265807,4,7.49056098,0,1.184246413,5.073054939,0,0,0,3,1,0,2,1,0,0,0,Data Engineer
99.4191747,60.13237322,88.35158387,89.44317625,83.75001018,82.71975695,52.65683263,65.00145167,85.82286477,7,8.607261257,2,1.327337678,8.438256722,0,1,1,2,5,2,0,1,2,0,1,Data Engineer
77.49966006,60.23011116,60.86688908,64.6904798,53.89912989,58.45694319,81.49439737,80.68395854,56.08981874,4,6.405070554,2,9.766487933,8.80289718,0,1,2,5,4,1,3,0,2,1,1,Data Engineer
60.952942,81.08764781,90.35812512,52.19238748,79.5235977,84.5737398,61.41693197,86.96434453,88.94281845,5,5.577575424,3,3.663676714,1.888951313,1,1,5,1,4,2,3,0,3,0,0,Data Engineer
99.04538291,60.87163318,75.87063944,88.16550384,96.38679033,56.90120271,81.39732456,59.77474327,92.90278787,8,7.839537995,1,1.227830059,5.401630248,1,0,4,0,1,0,1,0,2,1,1,Data Engineer
51.63608232,66.51363442,76.97387602,64.22401365,84.34241046,85.98043992,53.86890015,90.18787668,54.89905372,10,6.544297542,0,9.036136887,2.204370805,1,1,4,5,4,2,0,1,1,0,0,Data Engineer
96.02572017,51.02719069,51.85782894,81.65918487,99.94472981,86.21853555,57.61902388,59.46265734,68.67283846,4,1.103174069,0,8.164489328,3.950149898,1,1,5,1,3,4,0,0,3,0,1,Data Engineer
50.8036991,95.94947565,75.94849938,99.58293611,65.93425661,70.92531958,95.6945655,87.88381912,64.84829739,6,1.234751916,4,3.003625394,7.395841024,0,0,3,0,3,3,3,1,0,1,0,Data Engineer
68.8487056,96.69657233,78.23854221,89.56118985,85.34441667,50.43082747,96.53669777,57.95900128,95.83616655,10,6.45124723,0,4.461038441,5.023208326,1,0,1,3,1,4,2,0,0,1,0,Data Engineer
85.43136799,84.32079543,64.35220477,55.1819893,74.37163587,57.52130946,86.08001103,99.61168083,70.19995601,4,2.4446783,4,5.847955075,7.460991137,0,0,5,2,2,0,4,0,1,1,0,Data Engineer
87.44634076,90.48267923,59.19099422,95.66460637,57.34412545,61.28360618,65.27044667,52.23669588,66.1051852,7,1.282207855,1,6.551943518,2.417783436,0,0,5,4,2,3,2,1,3,1,0,Data Engineer
87.44736442,52.53750485,67.80433263,87.84691054,71.27644299,78.29989979,51.72879245,75.65670942,65.49941191,7,3.5428577,4,6.659022308,3.404529164,0,0,3,2,5,0,4,0,3,0,1,Data Engineer
52.24262817,72.9997644,66.40133552,81.04968544,78.0482563,64.06524456,82.99252362,58.49677741,84.52271361,7,3.96954543,2,5.857437978,1.012422763,0,1,3,4,1,0,3,0,2,1,1,Data Engineer
96.40610247,80.06722539,60.64076328,61.07101744,83.05846382,65.60447121,57.04754799,50.36252895,53.84918872,6,4.10534513,2,7.043731657,6.866508605,0,1,4,3,4,1,0,0,2,1,1,System Administrator
66.73996056,60.26677029,73.7097802,86.59584921,64.51424308,71.42347381,63.03152135,53.80715868,66.58172287,9,2.428213722,3,7.328638905,5.26930623,1,1,0,4,2,1,3,0,0,0,0,System Administrator
58.81660011,98.4312388,81.52793633,53.84264736,84.37718832,82.42221131,79.04354795,74.99173892,62.96859363,5,9.328583041,5,4.76404492,1.484086073,0,1,0,5,5,1,0,0,0,0,0,System Administrator
55.57091439,88.85558273,86.56867104,97.86062466,97.07512813,97.12110769,76.97693876,63.97163398,89.74010412,6,1.751754279,4,5.697931334,9.409043629,0,0,3,4,2,1,0,1,2,1,0,System Administrator
76.05001939,68.21008725,59.69601356,52.24152565,82.45674167,74.40208452,53.55680163,78.88105473,82.36858306,5,8.121908696,1,4.078835771,3.523845958,0,1,2,2,4,4,0,1,3,1,0,System Administrator
70.54643716,77.02559338,63.13141602,95.79559991,62.99932998,62.51539463,68.35963759,54.2895106,84.80617211,5,8.716796838,3,4.446829555,1.774184596,0,0,2,2,2,1,2,1,0,0,1,System Administrator
69.46554418,74.58678265,96.33335284,83.13364347,52.4707102,55.68900741,73.15167312,83.91862281,78.91783883,8,8.593085081,0,1.792321024,9.981163259,1,1,2,4,5,2,4,1,2,1,1,System Administrator
82.00975955,73.11855047,82.15905376,84.89287647,94.47708813,59.29359823,92.45855697,99.97928041,54.5849277,4,9.308591896,3,5.175153953,8.942880408,1,1,0,5,2,4,1,0,2,0,1,System Administrator
53.74500661,88.01835255,76.42158934,52.69438804,73.76212048,74.91764983,76.70852566,95.72804023,88.91112108,7,1.993306096,0,6.478172803,1.373123404,0,0,4,4,4,3,0,1,1,0,1,System Administrator
71.8981102,73.42318304,56.90018693,81.5048927,59.64299901,92.09098397,51.02418039,71.60305322,94.90384901,7,6.050017801,5,1.584460614,2.707837008,0,1,0,2,0,0,4,1,0,0,1,System Administrator
69.85462696,98.05455126,72.21189112,86.15430096,78.08198127,66.57406441,95.25219602,94.61050483,75.0715205,9,2.929866426,1,2.307013908,9.703830683,1,0,5,1,3,3,4,1,0,0,1,System Administrator
51.19438923,73.64910614,94.46143496,65.02788663,73.1473415,82.10660692,51.51519082,68.72574021,86.12580806,5,3.182443791,2,7.222609989,4.382678194,0,0,1,0,2,2,4,1,3,0,1,System Administrator
57.55814262,91.91833357,92.91755968,77.05085511,81.92671873,91.34363534,72.01951555,69.12007105,70.74291227,7,9.451299282,0,8.169482932,5.59066689,0,0,2,0,0,2,0,1,2,1,0,System Administrator
91.5740805,82.89263591,72.75395576,97.1298187,89.78626025,53.70476608,84.62646293,98.98086776,83.33708902,5,1.057193333,5,1.57029915,8.720059634,0,0,5,3,2,4,4,1,1,0,0,System Administrator
75.90862932,74.56954523,99.42654532,95.73738727,53.3375683,73.85311748,81.35107056,50.76063125,67.59670892,6,3.433205444,5,6.264987161,3.783239672,1,1,3,4,1,2,4,0,3,0,1,System Administrator
83.29486277,91.12710147,85.5049159,80.80600547,82.67990401,56.22311889,69.72172957,79.00309127,51.44530316,7,7.238673783,5,1.259831299,7.878212561,0,1,0,2,5,1,1,1,2,1,1,System Administrator
99.49422815,64.10775349,52.08327069,84.02253343,97.1685907,69.02271981,97.99216469,55.77924241,95.1682415,10,1.574411966,1,3.469790132,3.748468874,0,0,5,5,5,2,1,1,1,1,0,System Administrator
73.16714902,84.95704986,74.81567902,76.28449415,50.09153658,61.48332988,57.86856508,67.29642846,56.48331333,10,2.281415961,3,8.398754174,1.669744427,1,0,3,3,5,3,4,0,0,1,1,System Administrator
64.68507037,85.40149442,88.73775102,59.39502807,56.1756771,67.68056496,95.52983297,53.12055373,80.45985738,5,5.816543495,1,4.09183633,7.962404884,1,1,4,2,5,1,3,1,0,1,1,System Administrator
75.37787373,81.82847696,91.72720921,67.23057231,86.33105215,68.70103179,80.59129308,94.90391448,73.63540706,9,1.051758601,3,7.713836012,2.785568148,0,0,0,3,2,2,2,0,2,1,1,System Administrator
87.89399935,52.64342318,72.86670088,95.43194014,77.40906143,50.81796646,64.46360536,94.17116026,63.82247217,9,1.344139515,2,3.701110586,1.12498427,1,1,4,2,4,2,2,1,0,1,0,System Administrator
70.77687776,70.18279279,88.76073933,59.22936118,88.1222714,74.89916773,69.45897498,82.76889657,95.60621479,7,3.461414375,5,3.882031552,5.80602528,0,1,0,3,5,0,4,1,3,1,1,System Administrator
63.72490256,95.24545767,96.70496866,77.45024934,67.48103263,91.7718731,62.06274982,53.86375347,50.07286745,9,2.407037143,1,8.474247058,3.233027746,1,0,1,1,3,0,3,0,0,0,0,System Administrator
80.00805948,82.9323717,66.91325331,60.72083133,79.33239252,88.58602969,88.43365601,78.53457567,87.98766717,4,1.18794479,5,5.837777798,9.273995774,0,0,0,2,3,4,3,1,3,1,1,System Administrator
78.72324884,66.03088353,76.53694676,80.58241102,57.78675887,92.75641362,88.78266913,77.62760466,63.03477437,8,7.988599164,3,6.771248468,2.657095813,0,1,4,3,5,0,2,1,0,0,0,System Administrator
77.65091197,68.11462735,88.45246274,94.11620059,55.07168028,83.33870255,56.52954664,64.66443856,91.67523917,4,4.745068183,2,7.83516776,3.846933684,1,1,0,4,3,3,0,0,3,1,1,System Administrator
93.39386085,94.98818152,83.49822935,56.40064668,52.26537474,93.31522477,61.61829296,63.45608627,76.61610378,7,3.949600907,5,9.398502098,6.341470741,1,1,5,3,4,2,1,1,3,0,0,System Administrator
58.25666175,95.16856837,96.35246837,66.80338267,90.30642343,54.66174322,97.72245832,87.6145243,96.14707643,10,3.973155741,5,6.467273726,2.995589337,1,0,4,0,0,4,1,1,3,1,1,System Administrator
75.13887194,98.76442484,67.54287667,75.18424986,80.11534216,51.55308132,73.76163186,72.24819218,99.9217415,10,3.494739678,1,8.843561759,2.10737518,1,1,5,2,4,1,0,0,2,0,1,System Administrator
50.57538371,87.2923205,56.36466216,75.96015899,97.10844362,50.06829129,94.38907263,87.9127122,97.88965304,8,9.016766528,1,1.629065253,9.257447414,1,0,1,1,0,3,2,0,0,0,0,System Administrator
64.01699439,81.76287284,85.92210037,95.10924329,52.79973382,64.12948993,99.84315819,70.01287393,98.93424706,5,5.919192994,1,5.992755075,9.304562839,0,0,0,0,2,0,3,1,1,0,0,System Administrator
63.05002398,65.57945401,66.12996518,82.32383544,93.72533022,60.83243011,82.96978,89.28617333,55.46446682,7,2.999357831,1,6.812468351,5.216803259,0,1,5,1,3,2,1,1,3,0,0,System Administrator
56.06383111,59.66149182,67.67505104,91.5976046,85.85474548,81.45885849,80.81619593,86.8280492,50.56372124,6,4.306083401,4,4.418580009,3.397770063,1,1,3,1,1,4,0,0,2,1,0,System Administrator
60.04974926,53.75268802,78.88916162,89.06511052,80.10634055,53.58898875,60.77372987,89.11493576,61.77842993,4,9.291624427,1,5.983253213,9.18091033,0,0,5,2,4,2,0,1,0,0,0,System Administrator
85.88710009,94.91951502,58.86371211,92.10822117,65.10160825,55.57724498,70.18081673,51.52859279,62.89130022,5,1.38295331,5,2.851376036,4.593949496,1,1,1,3,4,3,4,1,1,0,1,System Administrator
64.01606442,51.76493179,84.2970167,61.47007472,92.10140697,98.71127249,61.89505177,76.12352415,90.73641563,5,8.629616045,4,1.435836776,6.393603076,1,1,3,5,2,2,4,1,3,0,1,System Administrator
69.16003706,64.64573459,89.58659874,96.34050699,58.8239469,68.01088209,53.99621761,90.31657933,80.75925747,8,7.474205618,5,4.589518406,4.432891171,1,0,1,4,1,2,4,1,0,0,0,System Administrator
92.90641532,89.24412923,58.43164271,54.87067844,99.14119501,99.27463452,84.51468577,69.1330364,80.10387522,5,1.75652598,4,4.12440178,1.775485899,0,0,4,0,2,0,0,1,1,0,1,System Administrator
56.92731898,59.71745086,60.2606053,81.41718876,80.8653011,71.92617448,58.27461173,61.60777451,91.16854262,5,1.709249789,4,1.977379516,1.850435423,0,0,3,4,1,4,3,0,1,1,0,System Administrator
78.17307746,81.44364878,50.32443476,99.7519992,57.39503505,50.91505549,99.44891227,73.80883389,65.71247307,7,3.464556435,5,1.95839372,7.193613797,0,0,5,2,5,4,0,1,2,0,1,System Administrator
59.40983284,93.39657037,87.83332806,56.53739499,57.84946364,55.22793542,63.16834686,75.37330866,61.91982187,10,1.184237942,0,8.547919406,2.265179988,1,1,1,5,4,2,3,0,0,1,0,System Administrator
95.53164229,81.91914152,95.15689888,74.93970573,51.250099,92.49189056,79.55218104,76.1614125,80.11617223,8,9.636583616,2,7.703491453,2.390270097,1,1,3,4,5,0,2,0,3,1,0,System Administrator
69.43283555,65.95325427,90.56622948,81.36049533,79.72520204,61.80790728,52.5273593,81.59772089,59.86730295,5,7.026875356,3,8.416020379,5.957059283,1,0,4,1,2,0,3,1,2,0,0,System Administrator
88.58516087,71.03169604,71.88741277,62.78478427,85.62788768,51.59095953,81.9682063,57.25946003,82.3168206,9,1.416922729,2,9.930151168,6.339472292,1,1,1,2,4,2,0,0,3,0,0,System Administrator
71.32184375,80.35790863,70.05540315,64.30532925,90.31494229,60.94809364,52.18881907,98.0748704,78.58099788,9,6.687951926,3,4.8928285,6.005740095,1,1,4,0,2,0,3,1,2,1,1,System Administrator
74.11592372,82.2257845,70.01628868,73.4820289,99.01381345,50.37687174,98.40874896,51.40290728,58.64469441,6,5.775502634,4,7.453231353,9.18564227,0,1,0,5,1,3,1,1,1,1,0,System Administrator
89.11118981,96.45472162,54.36941308,94.9029819,80.61061026,99.0979811,90.12830038,50.28682237,53.89293295,9,3.936719404,0,5.023534245,3.27639187,0,1,2,2,0,3,1,0,0,0,0,System Administrator
55.57672543,64.3474562,92.20084987,64.45990545,78.22720125,62.75839024,57.68800541,76.83875446,55.37243892,9,3.539580445,0,9.580366113,2.438047921,1,1,4,1,0,0,2,1,3,1,1,System Administrator
63.1252465,95.20394188,60.65774721,60.28905228,53.29744325,58.43793762,91.2763145,92.2825703,81.58001766,8,9.51171516,4,6.458368403,2.352846051,0,0,4,1,0,0,3,1,2,1,0,System Administrator
55.24898305,63.53974646,50.81350164,62.54128956,88.04550263,60.92053947,77.78483303,99.97378994,73.02851185,5,9.195895221,2,9.657252679,6.05817202,0,1,4,5,3,3,2,0,0,0,0,System Administrator
61.72424054,51.05061322,66.26055875,61.02609397,93.47575003,59.72744024,77.34849421,73.63330552,77.36651676,4,2.254732268,1,4.000524269,2.0219716,0,0,5,4,4,4,2,0,0,0,1,Cybersecurity Analyst
83.89573164,94.6411452,93.16518604,85.57583035,81.887553,63.28939633,87.32166464,72.16978506,92.23244163,5,8.766662253,3,8.436607374,5.744263176,1,0,0,5,1,4,3,0,1,0,1,Cybersecurity Analyst
69.82786474,58.4276991,90.16540321,72.33090543,54.72191698,83.09696197,92.14149169,72.73819071,99.21466336,4,2.50174492,2,2.185309557,3.460785743,1,1,3,3,5,1,3,0,2,1,0,Cybersecurity Analyst
79.97096622,98.03884378,83.65086173,61.46145249,66.00391772,94.02527392,71.62254995,52.61473731,66.61494792,10,2.618960866,1,2.585017004,9.632312356,1,1,5,4,4,3,4,0,2,1,0,Cybersecurity Analyst
94.39328559,77.99800351,65.6220623,58.08827208,60.66146666,58.14921648,50.17034654,80.23005827,53.20034889,4,7.410456317,0,5.496273331,3.394731282,0,0,5,0,0,4,3,0,1,1,0,Cybersecurity Analyst
65.39946826,74.62799424,96.22774294,65.87868798,85.03604399,62.55557011,83.36705898,54.94845282,61.27392636,4,5.113594832,2,4.727072904,7.297895895,0,1,1,0,3,1,1,0,3,0,0,Cybersecurity Analyst
71.57577783,97.70996215,69.34969022,81.51308801,75.76019344,98.23960824,54.76241596,99.27227415,65.84937685,9,7.715984047,1,5.501941841,1.890890117,0,1,4,2,3,0,4,1,0,0,1,Cybersecurity Analyst
57.26716089,93.78559046,88.7546606,98.40348177,89.82882645,68.85508851,84.36884162,53.7626373,79.17534803,10,1.804576468,4,5.176641403,4.499938096,0,0,1,1,5,0,4,0,0,0,1,Cybersecurity Analyst
80.02086488,80.38641033,59.40612799,75.3154963,92.55751964,83.86169932,60.1875537,70.27704303,50.93609083,8,8.374060408,4,1.266466199,2.432666283,1,1,0,2,2,3,1,0,1,1,1,Cybersecurity Analyst
98.1276406,52.30190264,56.06655471,68.6598566,59.28571918,84.01419647,71.69471482,72.51418395,84.49354208,6,9.56610486,0,4.759112491,5.504797009,0,1,5,2,4,4,0,1,0,0,1,Cybersecurity Analyst
66.0291448,59.23724069,75.45886018,81.61123944,99.61171184,72.1514636,93.61358153,70.41236344,79.46413505,6,4.605194673,0,5.135925411,2.548910545,0,1,0,4,5,4,4,0,2,0,1,Cybersecurity Analyst
65.96498141,91.70966753,54.1308249,93.32921941,91.52791176,81.05794194,91.77733167,92.97689197,67.87670626,10,4.26720056,4,6.16894835,8.941357926,0,0,2,4,2,2,3,0,2,1,0,Cybersecurity Analyst
64.99837155,56.54404249,68.9610022,96.14781391,58.20744542,74.61381967,69.33712091,80.12688144,62.71599652,7,6.266747861,0,2.969901696,7.34630959,1,0,0,5,4,0,4,0,2,0,0,Cybersecurity Analyst
84.6554804,83.91250252,87.03910937,58.24060585,97.49197544,98.09355379,74.15296867,73.39551157,97.79576883,5,5.885315058,0,5.755053043,4.213656862,0,0,0,2,3,2,0,0,3,1,1,Cybersecurity Analyst
68.97914015,88.82617289,77.46830951,95.8976701,65.18911795,94.16626429,93.16070714,53.76968987,92.47294128,9,1.929876166,3,8.303299217,8.671904475,0,1,2,0,4,4,1,1,0,1,0,Cybersecurity Analyst
72.41995506,51.22535553,85.92726712,59.09572533,61.81016071,71.87249717,67.566855,81.28698743,78.78404844,7,1.151788483,5,4.167418072,4.269014251,1,0,4,3,2,3,1,1,3,1,1,Cybersecurity Analyst
65.88627511,53.82244599,84.51128541,61.04700465,57.22841321,77.53395481,96.80147738,93.40821996,69.28278415,10,1.968598486,2,4.788662559,1.236417048,0,0,1,1,5,2,2,1,1,0,0,Cybersecurity Analyst
52.48503868,75.95952152,86.1287568,82.04862426,89.65700683,98.43489618,71.68215467,88.89286482,65.03938781,5,3.375268675,1,1.231672607,2.75703333,1,0,5,3,4,3,0,0,2,1,0,Cybersecurity Analyst
52.14071549,53.05954654,95.11310575,57.65555048,69.07678318,87.66339726,51.24849107,61.03316729,80.28607764,8,4.825969647,3,2.848980943,1.559938354,0,1,2,5,1,0,2,1,2,0,0,Cybersecurity Analyst
96.88257876,59.58815027,77.20176711,94.62724852,97.78471313,52.59434729,99.69261937,76.60317216,53.50991469,9,5.924064846,0,8.396473535,4.011252787,0,1,2,3,1,2,3,1,1,1,1,Cybersecurity Analyst
54.97823589,65.526563,60.61459173,62.05184633,98.12030376,57.88292265,79.25349606,51.90261334,97.45591632,10,5.238361346,3,1.7945649,4.766539148,0,1,4,5,0,4,3,1,1,1,1,Cybersecurity Analyst
62.5684051,81.83946847,84.89427677,98.37202904,79.21548876,91.10291171,71.82121425,80.38538982,88.75289156,8,7.84113417,0,4.692217751,3.374057262,1,1,5,5,1,4,3,1,2,0,1,Cybersecurity Analyst
67.2716497,99.26829322,68.26927861,71.47938466,92.60918493,80.98169273,77.83022426,95.27298836,76.91176655,5,1.932704092,5,5.782502162,6.678259666,0,0,3,4,4,0,1,0,2,1,1,Cybersecurity Analyst
59.29185364,90.59750602,72.57883534,62.37360886,73.83783769,89.01306154,54.3588696,72.6924022,69.01154725,5,2.955715938,3,3.576722094,6.456427901,0,0,0,1,1,0,3,0,1,1,1,Cybersecurity Analyst
86.5564393,56.79732473,71.93357154,97.67899288,83.2245469,59.98122406,91.56145441,69.73460504,73.13564828,7,5.770747632,3,6.683670378,4.776949089,0,0,1,5,3,1,4,1,2,0,1,Cybersecurity Analyst
78.87836929,75.34912538,70.15776403,65.0291272,61.58481979,56.8287391,76.85095414,82.12738682,92.37723265,10,4.437919884,5,4.693848793,8.602683374,1,1,0,0,4,2,4,0,0,1,0,Cybersecurity Analyst
54.0164392,68.01368179,60.58031117,90.78429899,76.76122263,60.51073481,53.20661891,69.64142565,88.95438706,7,7.148526187,4,5.883478793,6.744714278,1,1,1,4,4,3,1,1,0,1,0,Cybersecurity Analyst
